run,library,sample,fq1,fq2,il_fq,cohort,platform,include
run1,GK715_M4_lib1,GK715_M4,/home/norman/Analysis/datasets/2019_Sorghum_Striga_Grinkan/raw_data/GK715_M4_UKKD19080007-AK9779-AK9774_HJGMGDSXX_L4_1.fq.gz,/home/norman/Analysis/datasets/2019_Sorghum_Striga_Grinkan/raw_data/GK715_M4_UKKD19080007-AK9779-AK9774_HJGMGDSXX_L4_2.fq.gz,,Grinkan,ILLUMINA,Y
run1,Grinkan_CTRL_lib1,Grinkan_CTRL,/home/norman/Analysis/datasets/2019_Sorghum_Striga_Grinkan/raw_data/Grinkan_CTRL_UKKD19080007-AK9778-AK9776_HJGMGDSXX_L4_1.fq.gz,/home/norman/Analysis/datasets/2019_Sorghum_Striga_Grinkan/raw_data/Grinkan_CTRL_UKKD19080007-AK9778-AK9776_HJGMGDSXX_L4_2.fq.gz,,Grinkan,ILLUMINA,Y
run1,ICSV_1049_CTRL_lib1,ICSV_1049_CTRL,/home/norman/Analysis/datasets/2019_Sorghum_Striga_ICSV/raw_data/ICSV_1049_CTRL_UKKD19080007-AK9778-AK1689_HJGMGDSXX_L4_1.fq.gz,/home/norman/Analysis/datasets/2019_Sorghum_Striga_ICSV/raw_data/ICSV_1049_CTRL_UKKD19080007-AK9778-AK1689_HJGMGDSXX_L4_2.fq.gz,,ICSV,ILLUMINA,Y
run1,IC_83_M5_lib1,IC_83_M5,/home/norman/Analysis/datasets/2019_Sorghum_Striga_ICSV/raw_data/IC_83_M5_UKKD19080007-AK9779-AK9771_HJGMGDSXX_L4_1.fq.gz,/home/norman/Analysis/datasets/2019_Sorghum_Striga_ICSV/raw_data/IC_83_M5_UKKD19080007-AK9779-AK9771_HJGMGDSXX_L4_2.fq.gz,,ICSV,ILLUMINA,Y
run1,IC_47_M5_lib1,IC_47_M5,/home/norman/Analysis/datasets/2019_Sorghum_Striga_ICSV/raw_data/IC_47_M5_UKKD19080007-AK9778-AK9777_HJGMGDSXX_L4_1.fq.gz,/home/norman/Analysis/datasets/2019_Sorghum_Striga_ICSV/raw_data/IC_47_M5_UKKD19080007-AK9778-AK9777_HJGMGDSXX_L4_2.fq.gz,,ICSV,ILLUMINA,Y
run1,Sariasso_CTRL_lib1,Sariasso_CTRL,/home/norman/Analysis/datasets/2019_Sorghum_Striga_Sariasso/raw_data/Sariasso_CTRL_UKKD19080007-AK9778-AK9775_HJGMGDSXX_L4_1.fq.gz,/home/norman/Analysis/datasets/2019_Sorghum_Striga_Sariasso/raw_data/Sariasso_CTRL_UKKD19080007-AK9778-AK9775_HJGMGDSXX_L4_2.fq.gz,,Sariasso,ILLUMINA,Y
run1,Sa_7_M5_lib1,Sa_7_M5,/home/norman/Analysis/datasets/2019_Sorghum_Striga_Sariasso/raw_data/Sa_7_M5_UKKD19080007-AK9779-AK9773_HJGMGDSXX_L4_1.fq.gz,/home/norman/Analysis/datasets/2019_Sorghum_Striga_Sariasso/raw_data/Sa_7_M5_UKKD19080007-AK9779-AK9773_HJGMGDSXX_L4_2.fq.gz,,Sariasso,ILLUMINA,Y
run1,Sa_38_M5_lib1,Sa_38_M5,/home/norman/Analysis/datasets/2019_Sorghum_Striga_Sariasso/raw_data/Sa_38_M5_UKKD19080007-AK9779-AK9772_HJGMGDSXX_L4_1.fq.gz,/home/norman/Analysis/datasets/2019_Sorghum_Striga_Sariasso/raw_data/Sa_38_M5_UKKD19080007-AK9779-AK9772_HJGMGDSXX_L4_2.fq.gz,,Sariasso,ILLUMINA,Y
run1,PAHAT_lib1,PAHAT_1,/home/norman/Analysis/datasets/2019_Sorghum_yellow_midrib/raw_data/PAHAT_1/PAHAT_1_UKKD19080007-AK9778-AK9773_HJGMGDSXX_L4_1.fq.gz,/home/norman/Analysis/datasets/2019_Sorghum_yellow_midrib/raw_data/PAHAT_1/PAHAT_1_UKKD19080007-AK9778-AK9773_HJGMGDSXX_L4_2.fq.gz,,PAHAT,ILLUMINA,Y
run1,PAHAT_lib2,PAHAT_2,/home/norman/Analysis/datasets/2019_Sorghum_yellow_midrib/raw_data/PAHAT_2/PAHAT_2_UKKD19080007-AK9779-AK9776_HJGMGDSXX_L4_1.fq.gz,/home/norman/Analysis/datasets/2019_Sorghum_yellow_midrib/raw_data/PAHAT_2/PAHAT_2_UKKD19080007-AK9779-AK9776_HJGMGDSXX_L4_2.fq.gz,,PAHAT,ILLUMINA,Y
